iter	Passed	Remaining
468	700	793
469	701	791
470	702	788
471	703	787
472	705	785
473	706	783
474	707	781
475	708	779
476	709	777
477	710	775
478	711	773
479	712	771
480	713	769
481	714	767
482	715	765
483	716	763
484	717	761
485	718	759
486	719	757
487	720	755
488	721	753
489	722	752
490	723	750
491	725	748
492	726	746
493	727	745
494	728	743
495	729	741
496	730	739
497	732	737
498	733	736
499	734	734
500	735	732
501	736	730
502	738	729
503	739	727
504	741	726
505	742	724
506	743	722
507	744	721
508	745	719
509	746	717
510	747	715
511	748	713
512	749	711
513	750	709
514	751	707
515	752	706
516	754	704
517	755	702
518	756	701
519	757	699
520	758	697
521	759	695
522	760	693
523	761	691
524	762	689
525	763	687
526	764	686
527	765	684
528	766	682
529	767	681
530	769	679
531	770	677
532	771	676
533	772	674
534	773	672
535	774	670
536	775	668
537	776	666
538	777	664
539	778	662
540	779	661
541	780	659
542	781	657
543	782	656
544	783	654
545	784	652
546	785	650
547	786	648
548	787	647
549	788	645
550	789	643
551	790	641
552	791	640
553	793	638
554	794	636
555	794	634
556	796	633
557	797	631
558	798	629
559	799	628
560	800	626
561	801	624
562	802	622
563	803	621
564	804	619
565	805	617
566	806	615
567	807	614
568	808	612
569	809	610
570	810	609
571	811	607
572	812	605
573	813	604
574	814	602
575	815	600
576	816	598
577	817	597
578	818	595
579	819	593
580	820	592
581	821	590
582	822	588
583	823	586
584	825	585
585	826	583
586	827	582
587	828	580
588	829	578
589	830	576
590	831	575
591	832	573
592	833	571
593	834	570
594	835	568
595	836	566
596	837	565
597	838	563
598	839	562
599	840	560
600	841	558
601	842	557
602	843	555
603	844	553
604	845	552
605	846	550
606	847	548
607	848	546
608	849	545
609	850	543
610	851	541
611	852	540
612	853	538
613	854	537
614	856	535
615	857	534
616	858	532
617	859	531
618	860	529
619	861	527
620	862	526
621	863	524
622	864	522
623	865	521
624	866	519
625	867	518
626	868	516
627	869	515
628	870	513
629	871	511
630	872	510
631	873	508
632	874	507
633	875	505
634	876	504
635	877	502
636	878	500
637	879	499
638	880	497
639	881	496
640	883	494
641	884	493
642	885	491
643	886	490
644	888	488
645	889	487
646	890	485
647	891	484
648	892	482
649	893	480
650	893	479
651	895	477
652	896	476
653	897	474
654	898	473
655	899	471
656	900	470
657	901	468
658	902	467
659	903	465
660	904	463
661	905	462
662	906	460
663	907	459
664	908	457
665	909	456
666	911	454
667	912	453
668	912	451
669	913	450
670	914	448
671	916	447
672	917	445
673	918	444
674	918	442
675	919	440
676	921	439
677	922	437
678	923	436
679	924	434
680	925	433
681	926	431
682	927	430
683	928	429
684	929	427
685	930	425
686	931	424
687	932	422
688	933	421
689	934	419
690	935	418
691	936	416
692	937	415
693	938	413
694	940	412
695	941	411
696	942	409
697	943	408
698	944	406
699	945	405
700	946	403
701	947	402
702	948	400
703	949	399
704	950	397
705	951	396
706	952	394
707	953	393
708	954	391
709	956	390
710	957	389
711	958	387
712	959	386
713	960	384
714	961	383
715	962	381
716	963	380
717	964	378
718	966	377
719	967	376
720	968	374
721	969	373
722	970	371
723	971	370
724	973	369
725	974	367
726	975	366
727	976	364
728	977	363
729	978	361
730	979	360
731	981	359
732	982	357
733	983	356
734	985	355
735	986	353
736	987	352
737	988	350
738	989	349
739	990	348
740	991	346
741	992	345
742	993	343
743	994	342
744	995	340
745	996	339
746	998	338
747	999	336
748	1000	335
749	1001	333
750	1002	332
751	1003	330
752	1004	329
753	1005	328
754	1006	326
755	1008	325
756	1009	324
757	1010	322
758	1011	321
759	1013	319
760	1014	318
761	1015	317
762	1016	315
763	1017	314
764	1018	312
765	1020	311
766	1021	310
767	1022	308
768	1023	307
769	1024	306
770	1025	304
771	1026	303
772	1028	301
773	1029	300
774	1030	299
775	1031	297
776	1032	296
777	1033	294
778	1034	293
779	1035	292
780	1036	290
781	1037	289
782	1038	287
783	1039	286
784	1040	285
785	1042	283
786	1043	282
787	1045	281
788	1046	279
789	1047	278
790	1048	277
791	1049	275
792	1050	274
793	1051	272
794	1052	271
795	1053	270
796	1054	268
797	1056	267
798	1058	266
799	1059	264
800	1060	263
801	1061	262
802	1062	260
803	1063	259
804	1064	257
805	1065	256
806	1067	255
807	1068	253
808	1069	252
809	1070	251
810	1072	249
811	1073	248
812	1074	247
813	1075	245
814	1076	244
815	1077	243
816	1078	241
817	1079	240
818	1080	238
819	1081	237
820	1082	236
821	1083	234
822	1085	233
823	1086	232
824	1088	230
825	1089	229
826	1090	228
827	1091	226
828	1092	225
829	1093	224
830	1094	222
831	1096	221
832	1097	219
833	1098	218
834	1099	217
835	1100	215
836	1102	214
837	1103	213
838	1104	211
839	1105	210
840	1106	209
841	1107	207
842	1108	206
843	1109	205
844	1110	203
845	1111	202
846	1113	201
847	1114	199
848	1116	198
849	1117	197
850	1118	195
851	1119	194
852	1120	193
853	1121	191
854	1122	190
855	1123	189
856	1124	187
857	1126	186
858	1127	185
859	1128	183
860	1129	182
861	1130	181
862	1131	179
863	1133	178
864	1134	177
865	1135	175
866	1136	174
867	1137	172
868	1138	171
869	1139	170
870	1140	168
871	1141	167
872	1142	166
873	1143	164
874	1144	163
875	1145	162
876	1146	160
877	1147	159
878	1148	158
879	1149	156
880	1150	155
881	1151	154
882	1152	152
883	1154	151
884	1154	150
885	1155	148
886	1157	147
887	1158	146
888	1159	144
889	1160	143
890	1162	142
891	1163	140
892	1164	139
893	1165	138
894	1166	136
895	1167	135
896	1168	134
897	1169	132
898	1170	131
899	1171	130
900	1172	128
901	1174	127
902	1175	126
903	1176	124
904	1177	123
905	1178	122
906	1179	120
907	1180	119
908	1181	118
909	1182	116
910	1183	115
911	1184	114
912	1185	112
913	1186	111
914	1187	110
915	1188	109
916	1189	107
917	1190	106
918	1191	105
919	1192	103
920	1193	102
921	1194	101
922	1195	99
923	1196	98
924	1197	97
925	1198	95
926	1199	94
927	1200	93
928	1202	91
929	1203	90
930	1204	89
931	1205	87
932	1206	86
933	1207	85
934	1208	83
935	1209	82
936	1210	81
937	1211	80
938	1212	78
939	1213	77
940	1214	76
941	1215	74
942	1216	73
943	1217	72
944	1218	70
945	1219	69
946	1220	68
947	1221	67
948	1222	65
949	1223	64
950	1224	63
951	1225	61
952	1226	60
953	1227	59
954	1228	57
955	1230	56
956	1231	55
957	1232	54
958	1233	52
959	1234	51
960	1235	50
961	1236	48
962	1237	47
963	1238	46
964	1239	44
965	1240	43
966	1241	42
967	1242	41
968	1243	39
969	1244	38
970	1245	37
971	1246	35
972	1247	34
973	1248	33
974	1249	32
975	1250	30
976	1251	29
977	1252	28
978	1253	26
979	1254	25
980	1255	24
981	1256	23
982	1257	21
983	1258	20
984	1260	19
985	1261	17
986	1262	16
987	1263	15
988	1264	14
989	1265	12
990	1266	11
991	1267	10
992	1268	8
993	1269	7
994	1270	6
995	1271	5
996	1272	3
997	1273	2
998	1274	1
999	1275	0
